,Location Name,Formal Name,Max Capacity,Accent Wall,Air Conditioner,Appliances Ceiling Fan,Bathroom,Bulletin Board,Carpet,Dobbs Ferry Classroom,Drawing Desks,Seating (mobile tablet arm chair desks),Blackboard (chalkboard),Cabinets,Individual Desks,Instructor's Podium,Instructor's Table,Mobile Furniture,Seating (basic tablet arm chair desks),Seating (mobile tablet arm chair desks w/ underseat storage),Seating (office chair),Seating (theatre style),Seating (triangular desks),Table (Physical Therapy),Table (Shared Long Tables),Whiteboard,Whiteboard (mobile),Honors,Lab Computer,Lab Smart Math,Lighting Dimmer Switch,MHLH Auditorium Pref,No Windows,Paper Towel Dispenser,Piano,Receptacles/Power Outlets,Safety Fire Extinguisher,Safety Hand Sanitizer (wipes/gel),Shades (blackout shades ideal for films),Shades/Blinds (basic),Sink,Sound Proof (ideal for film and music classes),Stage,Storage Room/Closet,AV Smart/Aquos Board,AV Space,Active Learning Classroom,Anatomage Table with wallmounted digital display,Cinema AutoScreen,Cinema Quality Projector,Cinema Quality Space (ideal for film classes),Computer Stations,Computers (MAC computers),Computers (laptops),Echo360,HDMI Connection,Lecture Capture,Level 2,Level 3,Mircrophones & Speech Reinforcement,Printer,Projector (Interactive Touch Technology),Projector (basic),Projector (laser),Projector Screen,Software Available: Tableau,Speakers,TV (multipanel),TV / DVD,TV / DVD (mobile),Video Conference Capabilities,Wireless Connection Pods,Zoom Software Installed,Telephone (standard),Thermostat,Unit Ventilator,Wall Clock analog/digital
38,MERCY_HALL MEH31,Dobbs Ferry Mercy Hall Classroom MEH31,46.00,,,,,,1.00,1.00,,,,,46.00,1.00,1.00,1.00,,48.00,,,,,,3.00,,,,,,,,,,28.00,1.00,,,7.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,,,,,,,,1.00,,3.00,
39,MERCY_HALL MEH32,Dobbs Ferry Mercy Hall Classroom MEH32,45.00,,,,,,1.00,1.00,,,,,45.00,1.00,1.00,,45.00,,,,,,,1.00,,,,,,,,,,26.00,1.00,,,6.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,1.00,,,,,,,1.00,,2.00,
40,VICTORY VIC102,Dobbs Ferry Victory Hall Video Conference Classroom VIC102,12.00,,1.00,,,,1.00,1.00,,,,1.00,,1.00,,,,,,,,,4.00,1.00,,,,,,,,,,12.00,,,,4.00,,,,3.00,,1.00,,,,,,,,,,,,,1.00,,,,,,,,,,2.00,,1.00,,1.00,,,1.00,
41,VICTORY VIC103,Dobbs Ferry Victory Hall Classroom VIC103,36.00,,1.00,,,,1.00,1.00,,,,,36.00,1.00,1.00,,36.00,,,,,,,2.00,,,,,,,,,,14.00,,,,6.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,1.00,,,,,,,,,1.00,
42,VICTORY VIC104,Dobbs Ferry Victory Hall Classroom VIC104,35.00,,1.00,,,,1.00,1.00,,,,,35.00,1.00,1.00,,35.00,,,,,,,2.00,,,,,,,,,1.00,16.00,,,1.00,8.00,,1.00,,1.00,,1.00,,,1.00,1.00,1.00,,,,,,,1.00,,,,,,,1.00,,2.00,,,,,,,,,4.00,1
43,VICTORY VIC105,Dobbs Ferry Victory Hall Classroom VIC105,39.00,,1.00,,,,1.00,1.00,,,,1.00,39.00,1.00,1.00,,14.00,,,,25.00,,,2.00,,,,,,,,,,18.00,,,,8.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,1.00,,,,,,,,,4.00,
44,VICTORY VIC107,Dobbs Ferry Victory Hall Classroom VIC107,40.00,,1.00,,,,1.00,1.00,,,,1.00,40.00,1.00,1.00,,40.00,,,,,,,2.00,,,,,,,,,,19.00,,,,8.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,2.00,,,,,,,,,4.00,
45,VICTORY VIC108,Dobbs Ferry Victory Hall Classroom VIC108,35.00,,1.00,,,,1.00,1.00,,,,1.00,35.00,1.00,1.00,,17.00,,,,20.00,,,2.00,,,,,,,,,,10.00,,,,4.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,2.00,,,,,,,,,4.00,
46,VICTORY VIC110,Dobbs Ferry Victory Hall Computer Lab VIC110,32.00,,1.00,,,,1.00,1.00,,,,1.00,,1.00,,,,,,,,,16.00,2.00,,,1.00,,,,,,,18.00,,,,4.00,,,,,,1.00,,,,,,32.00,,,,,,1.00,,,2.00,,1.00,,1.00,,1.00,,,,,,,,,,
47,VICTORY VIC114,Dobbs Ferry Victory Hall Computer Lab VIC114,38.00,,1.00,,,,1.00,1.00,,,,,,1.00,1.00,1.00,,,,,,,20.00,2.00,1.00,,,,,,,,,34.00,,,,8.00,,,,1.00,,1.00,,,,,,,,38.00,,,,1.00,,,,1.00,,,,,2.00,,,,,,,,,4.00,
